Date,Open,High,Low,Close,Volume
20180219,1349,1351.9,1342.3,1343,86351
20180220,1343,1345.8,1327.6,1329.3,250486
20180221,1329.2,1338.5,1323.9,1325.5,239702
20180222,1325.4,1334.4,1322.9,1329.7,189109
20180223,1329.6,1333.7,1327.7,1330.5,127459
20180225,1330.4,1341.7,1328,1341.6,53030
20180226,1341.6,1342.9,1331.7,1334.5,205682
20180227,1334.6,1336.1,1314.4,1319,304647
20180228,1318.9,1323.7,1314.1,1314.4,232927
20180301,1314.4,1322.3,1303.6,1319.3,367539
20180302,1319.3,1326.6,1316.6,1323.7,201468
20180304,1324.9,1328.2,1320.5,1327.4,35295
20180305,1327.3,1328.9,1318.3,1323.8,179629
20180306,1323.8,1342,1321.4,1334,292846
20180307,1333.9,1336.4,1323,1327.7,227985
20180308,1327.7,1329.8,1317.3,1318.8,219159
20180309,1318.8,1325.9,1313.2,1324,242067
20180311,1324.1,1325,1321.7,1324.2,26572
20180312,1324.1,1326.4,1315.3,1319.3,189099
20180313,1319.3,1329.7,1313.8,1328.2,272619
20180314,1328.1,1330.5,1321.7,1327.2,206128
20180315,1327.2,1328.1,1313.5,1316.4,233363
20180316,1316.4,1321.8,1309.5,1313.9,156844
20180318,1312.9,1314.4,1310,1311.3,28878
20180319,1311.3,1319.6,1307.4,1315.3,213203
20180320,1315.3,1316.7,1306.6,1313.3,229442
20180321,1313.3,1336.9,1312.4,1329.8,411120
20180322,1329.9,1339.2,1324.6,1337.8,314401
20180323,1337.8,1350.4,1337.8,1347.3,321211
20180325,1347,1351.2,1345.8,1348.3,37802
20180326,1348.2,1356,1343.4,1353.6,213639
20180327,1353.6,1356.8,1339.6,1342.6,140910
20180328,1342.5,1343.4,1322.4,1326.4,14083
20180329,1326.1,1327.1,1321.7,1325,1445
20180401,1330.7,1334.3,1329,1333.5,34184
20180402,1333.4,1349.2,1332.3,1342.5,247158
20180403,1342.4,1346.2,1332.7,1339,267291
20180404,1339,1352.5,1331.4,1332,339373
20180405,1332.1,1336.7,1326,1331.2,280569
20180406,1331.1,1339.1,1322.6,1337.3,280405
20180408,1338,1338.5,1333.2,1335.9,29161
20180409,1335.8,1341.9,1330.1,1337.3,220073
20180410,1337.3,1346.2,1334.2,1345.1,261010
20180411,1345.2,1369.4,1344.8,1353.1,470291
20180412,1353,1355.8,1336.7,1343.3,355789
20180413,1343.3,1350.3,1335.5,1348.6,214741
20180415,1349.8,1351.5,1342.8,1348.8,58364
20180416,1348.8,1353.5,1343.8,1347.4,228008
20180417,1347.4,1351.6,1340.2,1346.3,256073
20180418,1346.2,1359,1345,1354.6,303469
20180419,1354.5,1357.7,1343.2,1344.5,303906
20180420,1344.5,1346.8,1337,1337.6,217704
20180422,1336.2,1337.3,1333.2,1335.9,37281
20180423,1335.9,1337.6,1323.6,1328.2,271132
20180424,1328.2,1334.5,1325,1329,244553
20180425,1329,1329.1,1320.2,1324.6,230056
20180426,1324.6,1328,1316.2,1318.5,268959
20180427,1318.6,1326.4,1315.8,1324.1,193260
20180429,1324,1325.9,1321.8,1322.5,20146
20180430,1322.5,1323.2,1310.7,1312.9,260724
20180501,1313,1313.3,1302.3,1310.8,281792
20180502,1310.8,1314.7,1304.7,1310.1,315980
20180503,1310.2,1319,1307,1313.2,272702
20180504,1313.2,1316.9,1308.5,1316,259865
20180506,1316.3,1320.1,1314.7,1316.7,42420
20180507,1316.8,1317.7,1310.6,1311.9,204262
20180508,1311.8,1318.5,1306.2,1311.4,345573
20180509,1311.3,1317.8,1304.2,1315.4,325222
20180510,1315.4,1323.4,1310.6,1319.8,320759
20180511,1319.8,1326.3,1317,1318.4,203342
20180513,1318.3,1322.4,1317.9,1319.3,30234
20180514,1319.3,1321.9,1310.9,1311.1,213483
20180515,1311,1312.2,1288.2,1293.6,437881
20180516,1293.5,1296.4,1285.7,1291.1,297596
20180517,1291,1292.6,1284,1287.7,258538
20180518,1287.7,1293.7,1285.1,1291.7,199742
20180520,1290.3,1291.4,1286.8,1287.4,39644
20180521,1287.4,1292.9,1281.2,1288.8,268383
20180522,1288.8,1296,1287.2,1291.8,263569
20180523,1291.8,1298.4,1286.7,1294.7,338958
20180524,1294.7,1306.4,1292.2,1301.9,350993
20180525,1301.9,1307.2,1299.4,1301.2,204648
20180527,1299,1300.4,1296.1,1298.3,27371
20180528,1298.2,1300.8,1294.6,1297.3,91319
20180529,1297.2,1306.1,1291.5,1298.4,173856
20180530,1298.4,1309.9,1295.2,1307.6,49065
20180531,1307.6,1311.5,1301,1302.9,259424
20180601,1302.8,1304.3,1293.1,1297.9,269099
20180603,1296.7,1298.6,1294.7,1295.5,28677
20180604,1295.4,1302.3,1293.8,1295.4,206299
20180605,1295.4,1304.8,1293.5,1300.8,246392
20180606,1300.7,1306.1,1297.7,1301.3,228309
20180607,1301.4,1307.8,1299,1300.9,224231
20180608,1300.9,1304.8,1296,1303.5,176726
20180610,1303.5,1305.7,1302.3,1303.1,26830
20180611,1303.1,1307,1297.8,1300.9,212475
20180612,1300.9,1304,1296.3,1298.5,204720
20180613,1298.5,1305.2,1294.5,1302.8,256008
20180614,1302.9,1313,1302.7,1305,336707
20180615,1305,1305.1,1277.9,1282,440453
20180617,1281.1,1284.9,1279.9,1282.7,32545
20180618,1282.6,1286.8,1279.5,1285.6,192173
20180619,1285.6,1285.9,1272.6,1276.1,254200
20180620,1276.1,1278.6,1266.6,1267.4,219638
20180621,1267.4,1272.3,1262.4,1269.1,242879
20180622,1269.2,1273.1,1268.5,1271.1,143242
20180624,1272.2,1274.4,1267.4,1268.8,37057
20180625,1268.9,1274.1,1264,1265.3,173532
20180626,1265.3,1266.2,1255,1256.6,247890
20180627,1256.6,1261.9,1252.2,1253.4,220894
20180628,1253.4,1255.8,1246.9,1252.5,241033
20180629,1252.5,1257.1,1249.6,1254.2,165852
20180701,1253.4,1255.6,1251.8,1252,25212
20180702,1252,1252.2,1238.8,1239.6,241371
20180703,1239.5,1261.7,1238.8,1257.9,267129
20180704,1257.9,1262.4,1255.2,1256.3,121444
20180705,1256.3,1261,1252.2,1255.8,221824
20180706,1255.9,1260.2,1254.4,1255.9,146996
20180708,1255.7,1260.7,1255.7,1259.9,29987
20180709,1259.8,1266.9,1258,1259.6,199891
20180710,1259.6,1260.3,1247.7,1251.5,261743
20180711,1251.4,1253.8,1241.4,1244.6,208111
20180712,1244.6,1248.8,1242.3,1244.8,174530
20180713,1244.8,1246.4,1236.2,1241.8,181673
20180715,1241,1244.7,1240.5,1244.1,24278
20180716,1244,1245.8,1237.4,1241.4,170699
20180717,1241.4,1245.1,1225.9,1226.9,270525
20180718,1226.8,1228.4,1220.9,1224.5,241623
20180719,1224.5,1229.6,1210.7,1221.7,363952
20180720,1221.6,1232.4,1220.8,1231.9,228889
20180722,1231.7,1235.2,1230.2,1231.8,43173
20180723,1231.9,1232.9,1218.1,1219.1,246532
20180724,1219.1,1229.7,1218.6,1224.1,217745
20180725,1224.1,1235.3,1224.1,1231.6,240770
20180726,1231.5,1231.5,1221.5,1223.8,199222
20180727,1223.8,1226.9,1216.7,1222.2,147755
20180729,1222.5,1223.3,1218.5,1219.6,3591
20180730,1219.5,1232.2,1218.1,1231.4,46954
20180731,1231.4,1237.8,1222.6,1229.6,268827
20180801,1229.7,1233.7,1224.4,1227,201936
20180802,1227,1228.9,1214.2,1215.4,226244
20180803,1215.4,1228.5,1212.5,1221.9,237440
20180805,1222,1226,1221.6,1223.7,27331
20180806,1223.6,1223.6,1214.4,1218.7,183498
20180807,1218.7,1224.3,1216.4,1221.7,199335
20180808,1221.6,1223.8,1213.6,1222.3,251803
20180809,1222.3,1225.6,1218.4,1218.7,212342
20180810,1218.6,1224.9,1213.1,1219.2,274255
20180812,1218.4,1221.4,1214.7,1215.8,45743
20180813,1215.8,1217.2,1198.6,1201.9,343344
20180814,1201.9,1205.8,1194,1194.3,223279
20180815,1194.3,1196.3,1167.1,1180.9,371693
20180816,1180.9,1189,1178.5,1183.6,284103
20180817,1183.5,1192,1180.2,1191.8,194417
20180819,1190.4,1193.4,1189.6,1192.5,34379
20180820,1192.5,1202.3,1191.4,1201.5,189911
20180821,1201.5,1204.6,1194.7,1202.5,184013
20180822,1202.4,1208.4,1196.6,1198.2,229634
20180823,1198.2,1199.4,1189.5,1194.4,212731
20180824,1194.5,1215.4,1193.8,1212.3,245037
20180826,1214.5,1214.7,1209.7,1212.9,39461
20180827,1212.8,1218.9,1209.3,1215.8,194421
